Year,Jurisdiction,Type of professional,Workforce_ number_of_nurses,Workforce_ employed_full time,Workforce_ employed_part_time,Workforce_ employed _casual,Workforce__employed_status_unknown,Workforce_place of work__hospital,Workforce_ place of work_ community health,Workforce_ place of work_ nursing home/LTC,Workforce_ place of work_ other,Workforce_ place of work_ not stated,Workforce_ position_ staff nurse,Workforce_ position_ manager,Workforce_ position_ other,Workforce_ position_ not stated,Workforce_ area of responsibility_ direct care,Workforce_ area of responsibility_ administration,Workforce_ area of responsibility_ education,Workforce_ area of responsibility_ research,Workforce_ area of responsibility_ not stated,Workforce_ geography_ urban,Workforce_ geography_ rural/remote,Workforce_ geography_ not stated
2018,Nova Scotia,Licensed practical nurses,"4,044","2,239","1,023",782,0,"1,817",699,"1,426",102,0,"3,777",124,143,0,"3,982",40,16,6,0,"2,628","1,415",1
2018,New Brunswick,Licensed practical nurses,"3,224","1,856",977,391,0,"1,638",172,"1,232",182,0,"2,710",167,347,0,"2,963",107,154,0,0,"2,277",938,9
2018,Quebec,Licensed practical nurses,"23,416","10,421","11,373","1,622",0,"15,193",486,"4,305","3,432",0,"22,637",0,779,0,"22,929",194,293,0,0,"22,357","1,059",0
2018,Ontario,Licensed practical nurses,"45,267","24,788","16,621","3,858",0,"17,628","8,335","16,178","3,089",37,"38,715","1,360","5,070",122,"43,582","1,106",385,0,194,"41,541","3,720",6
2018,Manitoba,Licensed practical nurses,"3,229","1,061","1,888",280,0,"1,230",457,"1,375",167,0,"2,990",36,203,0,"3,113",98,17,1,0,"2,006","1,223",0
2018,Saskatchewan,Licensed practical nurses,"3,406","1,623",893,862,28,"1,718",873,657,85,73,"2,952",52,329,73,"3,104",214,15,0,73,"2,394","1,009",3
2018,Alberta,Licensed practical nurses,"12,324","4,790","5,463","2,071",0,"4,974","3,273","3,262",815,0,"8,865",341,"3,118",0,"11,248",873,188,15,0,"10,298","2,026",0
2018,British Columbia,Licensed practical nurses,"11,514","5,809","2,918","2,754",33,"4,070","1,220","4,800",907,517,"10,317",349,349,499,"10,527",175,129,18,665,"10,454",948,112
2018,Yukon,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Northwest Territories,Licensed practical nurses,107,80,7,17,3,29,18,49,10,1,92,4,9,2,104,0,0,0,3,29,66,12
2018,Nunavut,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Newfoundland and Labrador,Licensed practical nurses,"2,313","1,449",141,723,0,700,250,"1,294",68,1,"2,235",0,78,0,"2,277",26,9,0,1,"1,400",908,5
2019,Prince Edward Island,Licensed practical nurses,669,382,166,85,36,0,0,0,0,0,575,4,86,4,0,0,0,0,0,444,222,3
2019,Nova Scotia,Licensed practical nurses,"4,114","2,242","1,014",858,0,"1,808",756,"1,441",109,0,"3,800",119,195,0,"4,044",48,17,5,0,"2,660","1,454",0
2019,New Brunswick,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Quebec,Licensed practical nurses,"24,369","11,240","11,601","1,528",0,"15,662",567,"4,557","3,583",0,"23,538",0,831,0,"23,824",261,284,0,0,"23,337","1,032",0
2019,Ontario,Licensed practical nurses,"47,729","26,546","17,337","3,846",0,"18,835","8,799","16,729","3,313",53,"40,852","1,431","5,358",88,"45,971","1,145",438,0,175,"43,850","3,869",10
2019,Manitoba,Licensed practical nurses,"3,376","1,049","2,014",313,0,"1,254",466,"1,465",191,0,"3,126",53,197,0,"3,248",105,22,1,0,"2,125","1,250",1
2019,Saskatchewan,Licensed practical nurses,"3,038","1,480",980,578,0,"1,495",814,636,93,0,"2,699",57,282,0,"3,027",6,5,0,0,"2,113",923,2
2019,Alberta,Licensed practical nurses,"13,546","5,153","5,516","2,877",0,"5,280","3,837","3,808",621,0,"10,516",391,"2,639",0,"12,130","1,029",205,8,174,"11,356","2,186",4
2019,British Columbia,Licensed practical nurses,"11,821","6,065","3,126","2,589",41,"4,226","1,288","4,829",905,573,"10,602",364,334,521,"10,773",173,136,16,723,"10,754",951,116
2019,Yukon,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Northwest Territories,Licensed practical nurses,111,78,6,23,4,29,17,50,15,0,97,3,11,0,111,0,0,0,0,35,64,12
2019,Nunavut,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Newfoundland and Labrador,Licensed practical nurses,"2,251","1,419",149,683,0,739,174,"1,266",69,3,"2,175",0,71,5,"2,201",11,13,3,23,"1,337",912,2
2020,Prince Edward Island,Licensed practical nurses,748,392,215,114,27,308,56,208,148,28,628,4,88,28,705,10,5,0,28,544,200,4
2020,Nova Scotia,Licensed practical nurses,"4,146","2,285","1,020",839,2,"1,824",790,"1,418",114,0,"3,795",130,219,2,"4,071",50,17,6,2,"2,706","1,440",0
2020,New Brunswick,Licensed practical nurses,"2,952","1,837",829,286,0,"1,490",193,"1,064",205,0,"2,454",155,343,0,"2,671",118,163,0,0,"2,097",827,28
2020,Quebec,Licensed practical nurses,"26,005","13,386","11,196","1,423",0,"16,682",595,"4,662","4,066",0,"25,001",0,"1,004",0,"25,391",305,309,0,0,"24,894","1,111",0
2020,Ontario,Licensed practical nurses,"49,061","27,781","17,363","3,917",0,"19,585","9,154","16,820","3,486",16,"41,838","1,527","5,584",112,"47,209","1,209",467,0,176,"45,122","3,925",14
2020,Manitoba,Licensed practical nurses,"3,402","1,065","2,031",303,3,"1,272",464,"1,450",213,3,"3,137",59,203,3,"3,247",130,22,0,3,"2,176","1,225",1
2020,Saskatchewan,Licensed practical nurses,"3,633","1,737","1,153",634,109,"1,720",911,708,165,129,"3,098",70,336,129,"3,275",213,16,0,129,"2,550","1,064",19
2020,Alberta,Licensed practical nurses,"14,407","5,543","5,746","3,118",0,"5,521","4,022","4,029",835,0,"12,114",431,"1,862",0,"13,060","1,106",223,18,0,"12,124","2,278",5
2020,British Columbia,Licensed practical nurses,"11,814","6,011","3,092","2,686",25,"4,305","1,519","4,917",948,125,"10,968",436,322,88,"11,228",155,27,16,388,"10,766",946,102
2020,Yukon,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Northwest Territories,Licensed practical nurses,135,95,6,34,0,43,14,62,16,0,115,4,15,1,135,0,0,0,0,39,76,20
2020,Nunavut,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Newfoundland and Labrador,Licensed practical nurses,"2,339","1,534",145,660,0,741,175,"1,320",101,2,"2,264",0,73,2,"2,299",18,17,3,2,"1,384",952,3
2021,Prince Edward Island,Licensed practical nurses,710,399,205,87,19,308,55,206,141,0,624,3,83,0,693,12,5,0,0,526,184,0
2021,Nova Scotia,Licensed practical nurses,"4,315","2,416","1,166",702,31,"1,822",807,"1,517",123,46,"3,894",133,237,51,"4,179",54,23,8,51,"2,811","1,504",0
2021,New Brunswick,Licensed practical nurses,"3,145","1,914",893,329,9,0,0,0,0,0,"2,917",34,182,12,"2,832",242,48,11,12,"2,258",779,108
2021,Quebec,Licensed practical nurses,"25,177","15,232","8,796","1,149",0,"16,079",648,"4,194","4,256",0,"24,230",0,947,0,"24,513",323,341,0,0,"24,155","1,018",4
2021,Ontario,Licensed practical nurses,"49,781","29,517","16,460","3,804",0,"20,805","8,624","16,751","3,582",19,"42,596","1,554","5,609",22,"48,021","1,248",436,0,76,"45,906","3,862",13
2021,Manitoba,Licensed practical nurses,"3,595","1,122","2,115",307,51,"1,320",535,"1,507",167,66,"3,244",67,220,64,"3,372",135,22,0,66,"2,305","1,280",10
2021,Saskatchewan,Licensed practical nurses,"3,525","1,812","1,185",502,26,"1,702",890,712,194,27,"3,090",76,332,27,"3,255",225,18,0,27,"2,496","1,025",4
2021,Alberta,Licensed practical nurses,"15,159","6,012","6,277","2,870",0,"5,648","4,055","4,426","1,030",0,"13,060",439,"1,660",0,"13,661","1,262",214,22,0,"12,816","2,338",5
2021,British Columbia,Licensed practical nurses,"12,806","6,761","3,316","2,695",34,"4,556","1,794","5,217","1,056",183,"11,745",525,380,156,"12,001",222,46,26,511,"11,746",994,66
2021,Yukon,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Northwest Territories,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nunavut,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Newfoundland and Labrador,Licensed practical nurses,"2,368","1,562",128,678,0,783,191,"1,265",129,0,"2,292",0,76,0,"2,333",20,12,3,0,"1,394",973,1
2022,Prince Edward Island,Licensed practical nurses,761,393,222,104,42,307,59,213,153,29,645,4,83,29,712,12,8,0,29,567,194,0
2022,Nova Scotia,Licensed practical nurses,"4,458","2,502","1,211",709,36,"1,988",857,"1,452",143,18,"4,013",143,277,25,"4,344",55,28,7,24,"2,876","1,580",2
2022,New Brunswick,Licensed practical nurses,"3,278","1,955",920,353,50,"1,806",188,970,258,56,"3,001",34,189,54,"2,917",247,49,11,54,"2,370",815,93
2022,Quebec,Licensed practical nurses,"24,951","17,206","6,661","1,084",0,"15,849",686,"3,935","4,481",0,"23,959",0,992,0,"24,222",346,383,0,0,"23,897","1,050",4
2022,Ontario,Licensed practical nurses,"51,369","31,851","15,748","3,770",0,"22,103","9,153","15,722","4,364",27,"43,727","1,738","5,860",44,"49,535","1,288",463,0,83,"47,504","3,851",14
2022,Manitoba,Licensed practical nurses,"3,524","1,129","2,082",313,0,"1,299",505,"1,456",260,4,"3,164",76,242,42,"3,193",306,21,0,4,"2,274","1,248",2
2022,Saskatchewan,Licensed practical nurses,"3,541","1,850","1,185",506,0,"1,666",921,708,246,0,"3,097",83,360,1,"3,261",262,18,0,0,"2,497","1,039",5
2022,Alberta,Licensed practical nurses,"15,511","6,413","6,342","2,756",0,"5,799","4,154","4,236","1,322",0,"13,475",436,"1,600",0,"13,844","1,398",246,23,0,"13,157","2,349",5
2022,British Columbia,Licensed practical nurses,"13,144","7,213","3,378","2,504",49,"4,667","1,989","5,085","1,257",146,"12,103",556,409,76,"12,259",266,72,22,525,"12,111",974,59
2022,Yukon,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Northwest Territories,Licensed practical nurses,181,143,4,34,0,39,20,65,16,41,127,5,11,38,144,0,0,0,37,54,97,30
2022,Nunavut,Licensed practical nurses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
